종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","109576557090","2145","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","219727655500","4910","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","158633219200","12160","13045495","13247561","202066","2024-09"
"054620","APS","115739358280","6370","18169444","19894221","1724777","2024-09"
"265520","AP시스템","262551942320","17480","15020134","15281421","261287","2024-09"
"211270","AP위성","145462905420","10220","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","62080147936","544","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","341680294620","3570","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1946894190500","112700","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","208065312000","3360","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3132893826960","9840","318383519","320436727","2053208","2024-09"
"001460","BYC","199778240000","32000","6243070","6246150","3080","2024-09"
"013720","CBI","48716785032","1093","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","196849105920","2560","76894182","76894182","0","2024-09"
"001040","CJ","2841137775000","105000","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","917313216620","5540","165580003","165580003","0","2024-09"
"035760","CJ ENM","1305965997000","63000","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","100237522000","11000","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1805034174500","90500","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","114439512005","3185","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4026944846000","274000","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","212976252840","17940","11871586","11871586","0","2024-09"
"058820","CMG제약","291673712400","2100","138892244","138892244","0","2024-09"
"023460","CNH","6789438434","206","32958439","37200000","4241561","2024-09"
"056730","CNT85","55701358400","800","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","233924649840","5670","41256552","46890490","5633938","2024-09"
"065770","CS","19605241300","1010","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","48401117598","817","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","71114916200","68300","1041214","1154482","113268","2024-09"
"012030","DB","300299997876","1572","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12091625000","2275","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12293200000","2105","5840000","5840000","0","2024-09"
"016610","DB금융투자","219129492820","5380","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6820938078400","113600","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1561776558450","37550","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1357765509120","8160","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","30531587892","1209","25253588","25258229","4641","2024-09"
"290120","DH오토리드","39951480350","2575","15515138","15515138","0","2024-09"
"025440","DH오토웨어","35398406450","230","153906115","153906120","5","2024-09"
"001530","DI동일","723500089650","37350","19370819","25215672","5844853","2024-09"
"000210","DL","841415225400","40200","20930727","20955884","25157","2024-09"
"375500","DL이앤씨","1174982572400","30550","38460968","38693623","232655","2024-09"
"068790","DMS","127764077280","5430","23529296","24573061","1043765","2024-09"
"007340","DN오토모티브","905241042450","18010","50263245","59065865","8802620","2024-09"
"004840","DRB동일","88171065300","4575","19272364","19930000","657636","2024-09"
"241520","DSC인베스트먼트","74393336000","2845","26148800","27496125","1347325","2024-09"
"155660","DSR","61040000000","3815","16000000","16000000","0","2024-09"
"069730","DSR제강","50400000000","3500","14400000","14400000","0","2024-09"
"017860","DS단석","492944076400","84100","5861404","5861404","0","2024-09"
"180400","DXVX","113695187760","2310","49218696","49219432","736","2024-09"
"017940","E1","432474974800","74800","5781751","6860000","1078249","2024-09"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2024-09"
"037370","EG","61323550920","7110","8624972","8624972","0","2024-09"
"050120","ES큐브","24149574921","1803","13394107","13564086","169979","2024-09"
"383220","F&F","2151980361700","56900","37820393","38307075","486682","2024-09"
