종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","110598249930","2165","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","214581284750","4795","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","169330525100","12980","13045495","13247561","202066","2024-09"
"054620","APS","112650552800","6200","18169444","19894221","1724777","2024-09"
"265520","AP시스템","268710197260","17890","15020134","15281421","261287","2024-09"
"211270","AP위성","148451869230","10430","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","62536619612","548","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","346465732920","3620","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1984899223500","114900","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","212400006000","3430","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3018275760120","9480","318383519","320436727","2053208","2024-09"
"001460","BYC","205397003000","32900","6243070","6246150","3080","2024-09"
"013720","CBI","48583070160","1090","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","187621804080","2440","76894182","76894182","0","2024-09"
"001040","CJ","2843843620500","105100","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","922280616710","5570","165580003","165580003","0","2024-09"
"035760","CJ ENM","1293528225600","62400","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","106434023360","11680","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1779105506800","89200","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","113361588815","3155","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4063687043500","276500","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","215944149340","18190","11871586","11871586","0","2024-09"
"058820","CMG제약","295840479720","2130","138892244","138892244","0","2024-09"
"023460","CNH","8701027896","264","32958439","37200000","4241561","2024-09"
"056730","CNT85","56885012266","817","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","233099518800","5650","41256552","46890490","5633938","2024-09"
"065770","CS","19314074350","995","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","49526724984","836","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","72676737200","69800","1041214","1154482","113268","2024-09"
"012030","DB","308323280262","1614","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12091625000","2275","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12059600000","2065","5840000","5840000","0","2024-09"
"016610","DB금융투자","223202531720","5480","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6935020669500","115500","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1534741811100","36900","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1349445867520","8110","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","30784123772","1219","25253588","25258229","4641","2024-09"
"290120","DH오토리드","41502994150","2675","15515138","15515138","0","2024-09"
"025440","DH오토웨어","33089814725","215","153906115","153906120","5","2024-09"
"001530","DI동일","723500089650","37350","19370819","25215672","5844853","2024-09"
"000210","DL","867578634150","41450","20930727","20955884","25157","2024-09"
"375500","DL이앤씨","1178828669200","30650","38460968","38693623","232655","2024-09"
"068790","DMS","129175835040","5490","23529296","24573061","1043765","2024-09"
"007340","DN오토모티브","884130479550","17590","50263245","59065865","8802620","2024-09"
"004840","DRB동일","88074703480","4570","19272364","19930000","657636","2024-09"
"241520","DSC인베스트먼트","75047056000","2870","26148800","27496125","1347325","2024-09"
"155660","DSR","61600000000","3850","16000000","16000000","0","2024-09"
"069730","DSR제강","51984000000","3610","14400000","14400000","0","2024-09"
"017860","DS단석","398575472000","68000","5861404","5861404","0","2024-09"
