종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","105489785730","2065","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","217042592500","4850","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","172070079050","13190","13045495","13247561","202066","2024-09"
"054620","APS","108289886240","5960","18169444","19894221","1724777","2024-09"
"265520","AP시스템","276370465600","18400","15020134","15281421","261287","2024-09"
"211270","AP위성","151013838210","10610","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","61737794179","541","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","345030101430","3605","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1941711686000","112400","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","216734700000","3500","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3081952463920","9680","318383519","320436727","2053208","2024-09"
"001460","BYC","205709156500","32950","6243070","6246150","3080","2024-09"
"013720","CBI","50365935120","1130","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","172627438590","2245","76894182","76894182","0","2024-09"
"001040","CJ","3022429423500","111700","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","938838617010","5670","165580003","165580003","0","2024-09"
"035760","CJ ENM","1299747111300","62700","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","111445899460","12230","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1757165864900","88100","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","114439512005","3185","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4137171438500","281500","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","221761226480","18680","11871586","11871586","0","2024-09"
"058820","CMG제약","316674316320","2280","138892244","138892244","0","2024-09"
"023460","CNH","9689781066","294","32958439","37200000","4241561","2024-09"
"056730","CNT85","55701358400","800","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","236400042960","5730","41256552","46890490","5633938","2024-09"
"065770","CS","20498153280","1056","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","50237634912","848","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","72364373000","69500","1041214","1154482","113268","2024-09"
"012030","DB","305457822267","1599","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12065050000","2270","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12088800000","2070","5840000","5840000","0","2024-09"
"016610","DB금융투자","226868266730","5570","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6796920690800","113200","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1671995143800","40200","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1351109795840","8120","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","30279052012","1199","25253588","25258229","4641","2024-09"
"290120","DH오토리드","42511478120","2740","15515138","15515138","0","2024-09"
"025440","DH오토웨어","33397626955","217","153906115","153906120","5","2024-09"
"001530","DI동일","763210268600","39400","19370819","25215672","5844853","2024-09"
"000210","DL","881183606700","42100","20930727","20955884","25157","2024-09"
"375500","DL이앤씨","1234597072800","32100","38460968","38693623","232655","2024-09"
"068790","DMS","132234643520","5620","23529296","24573061","1043765","2024-09"
"007340","DN오토모티브","966402981150","18670","51762345","60564965","8802620","2024-09"
"004840","DRB동일","88941959860","4615","19272364","19930000","657636","2024-09"
"241520","DSC인베스트먼트","74916312000","2865","26148800","27496125","1347325","2024-09"
"155660","DSR","64160000000","4010","16000000","16000000","0","2024-09"
"069730","DSR제강","53208000000","3695","14400000","14400000","0","2024-09"
