종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","105745208940","2070","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","216818837250","4845","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","163460052350","12530","13045495","13247561","202066","2024-09"
"054620","APS","108289886240","5960","18169444","19894221","1724777","2024-09"
"265520","AP시스템","270062009320","17980","15020134","15281421","261287","2024-09"
"211270","AP위성","151725496260","10660","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","65846039263","577","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","346944276750","3625","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1957259199500","113300","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","213948111000","3455","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3050114112020","9580","318383519","320436727","2053208","2024-09"
"001460","BYC","202275468000","32400","6243070","6246150","3080","2024-09"
"013720","CBI","48850499904","1096","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","180701327700","2350","76894182","76894182","0","2024-09"
"001040","CJ","2903372221500","107300","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","932215416890","5630","165580003","165580003","0","2024-09"
"035760","CJ ENM","1293528225600","62400","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","109623399060","12030","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1761154890700","88300","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","113900550410","3170","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4107777680500","279500","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","220692783740","18590","11871586","11871586","0","2024-09"
"058820","CMG제약","310424165340","2235","138892244","138892244","0","2024-09"
"023460","CNH","8865820091","269","32958439","37200000","4241561","2024-09"
"056730","CNT85","56467252078","811","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","234749780880","5690","41256552","46890490","5633938","2024-09"
"065770","CS","19915819380","1026","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","49822937454","841","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","72572615800","69700","1041214","1154482","113268","2024-09"
"012030","DB","310424616125","1625","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12065050000","2270","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12030400000","2060","5840000","5840000","0","2024-09"
"016610","DB금융투자","226868266730","5570","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6712859834200","111800","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1574254134150","37850","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1352773724160","8130","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","29748726664","1178","25253588","25258229","4641","2024-09"
"290120","DH오토리드","42433902430","2735","15515138","15515138","0","2024-09"
"025440","DH오토웨어","32628096380","212","153906115","153906120","5","2024-09"
"001530","DI동일","730279876300","37700","19370819","25215672","5844853","2024-09"
"000210","DL","885369752100","42300","20930727","20955884","25157","2024-09"
"375500","DL이앤씨","1213443540400","31550","38460968","38693623","232655","2024-09"
"068790","DMS","131058178720","5570","23529296","24573061","1043765","2024-09"
"007340","DN오토모티브","915158259600","17680","51762345","60564965","8802620","2024-09"
"004840","DRB동일","88074703480","4570","19272364","19930000","657636","2024-09"
"241520","DSC인베스트먼트","75308544000","2880","26148800","27496125","1347325","2024-09"
"155660","DSR","63680000000","3980","16000000","16000000","0","2024-09"
"069730","DSR제강","53208000000","3695","14400000","14400000","0","2024-09"
"017860","DS단석","409712139600","69900","5861404","5861404","0","2024-09"
"180400","DXVX","121816272600","2475","49218696","49219432","736","2024-09"
"017940","E1","427271398900","73900","5781751","6860000","1078249","2024-09"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2024-09"
"037370","EG","61151051480","7090","8624972","8624972","0","2024-09"
"050120","ES큐브","24296910098","1814","13394107","13564086","169979","2024-09"
"383220","F&F","2299479894400","60800","37820393","38307075","486682","2024-09"
"007700","F&F홀딩스","530569146940","13580","39069893","39114367","44474","2024-09"
"214270","FSN","67492453420","2030","33247514","33250463","2949","2024-09"
"130500","GH신소재","45962304280","3160","14545033","14545052","19","2024-09"
"114090","GKL","677938143200","10960","61855670","61855670","0","2024-09"
"078930","GS","3873742141500","41700","92895495","92915378","19883","2024-09"
"083450","GST","289804047400","15580","18601030","18618260","17230","2024-09"
"006360","GS건설","1580631224900","18620","84888895","85581490","692595","2024-09"
"001250","GS글로벌","285845874930","3465","82495202","82533764","38562","2024-09"
"007070","GS리테일","2161859550400","20900","103438256","104717922","1279666","2024-09"
"297890","HB솔루션","304997611380","4170","73140914","73140914","0","2024-09"
