종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","108299441040","2120","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","219727655500","4910","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","161503228100","12380","13045495","13247561","202066","2024-09"
"054620","APS","115375969400","6350","18169444","19894221","1724777","2024-09"
"265520","AP시스템","266457177160","17740","15020134","15281421","261287","2024-09"
"211270","AP위성","151583164650","10650","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","62764855450","550","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","344073013770","3595","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1971079211500","114100","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","208374933000","3365","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3008724254550","9450","318383519","320436727","2053208","2024-09"
"001460","BYC","200714700500","32150","6243070","6246150","3080","2024-09"
"013720","CBI","48449355288","1087","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","195695693190","2545","76894182","76894182","0","2024-09"
"001040","CJ","2776197483000","102600","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","923936416740","5580","165580003","165580003","0","2024-09"
"035760","CJ ENM","1285236378000","62000","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","99599646860","10930","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1741209761700","87300","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","114439512005","3185","35930773","35930773","0","2024-09"
"097950","CJ제일제당","3997551088000","272000","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","211314230800","17800","11871586","11871586","0","2024-09"
"058820","CMG제약","290284789960","2090","138892244","138892244","0","2024-09"
"023460","CNH","5273350240","160","32958439","37200000","4241561","2024-09"
"056730","CNT85","54378451138","781","69626698","74111186","4484488","2024-09"
