종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"471050","대신밸런스제17호스팩","KOSDAQ","금융","2120","0","0.00","12847200000"
"478780","대신밸런스제18호스팩","KOSDAQ","금융","2060","0","0.00","16294600000"
"020180","대신정보통신","KOSDAQ","일반서비스","868","-2","-0.23","33356298220"
"045390","대아티아이","KOSDAQ","전기·전자","2560","-30","-1.16","180411845120"
"108380","대양전기공업","KOSDAQ","운송장비·부품","11260","-200","-1.75","107728169580"
"007680","대원","KOSDAQ","건설","4190","-50","-1.18","56340726060"
"048910","대원미디어","KOSDAQ","유통","7960","-80","-1.00","100128410160"
"005710","대원산업","KOSDAQ","운송장비·부품","5940","140","2.41","119023344000"
"290380","대유","KOSDAQ","화학","2300","0","0.00","56841307600"
"120240","대정화금","KOSDAQ","화학","13600","-180","-1.31","97789317600"
"003310","대주산업","KOSDAQ","음식료·담배","1437","7","0.49","50858806950"
"078600","대주전자재료","KOSDAQ","전기·전자","102900","-600","-0.58","1592953019700"
"096350","대창솔루션","KOSDAQ","금속","342","-7","-2.01","56006265078"
"140520","대창스틸","KOSDAQ","금속","2180","-80","-3.54","46018149740"
"131220","대한과학","KOSDAQ","유통","4790","-5","-0.10","35707007100"
"010170","대한광통신","KOSDAQ","전기·전자","1037","-10","-0.96","77268079142"
"054670","대한뉴팜","KOSDAQ","제약","7660","-50","-0.65","109958687200"
"023910","대한약품","KOSDAQ","제약","25250","0","0.00","151500000000"
"021040","대호특수강","KOSDAQ","금속","1549","4","0.26","33620694926"
"021045","대호특수강우","KOSDAQ","금속","3600","-30","-0.83","3054571200"
"067080","대화제약","KOSDAQ","제약","18800","300","1.62","349993020000"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","9820","-90","-0.91","145000705920"
"032860","더라미","KOSDAQ","일반서비스","1808","-197","-9.83","73035720304"
"393890","더블유씨피","KOSDAQ","전기·전자","15510","-220","-1.40","522632994180"
"299170","더블유에스아이","KOSDAQ","유통","1510","10","0.67","45342224130"
"224060","더코디","KOSDAQ","기계·장비","4645","140","3.11","22056308710"
"043090","더테크놀로지","KOSDAQ","유통","404","-4","-0.98","30062751404"
"213420","덕산네오룩스","KOSDAQ","전기·전자","25800","-1500","-5.49","640644418200"
"317330","덕산테코피아","KOSDAQ","화학","35550","-750","-2.07","727942561200"
"077360","덕산하이메탈","KOSDAQ","전기·전자","4575","-130","-2.76","207874284150"
"090410","덕신이피씨","KOSDAQ","금속","1394","-6","-0.43","64241228430"
"263600","덕우전자","KOSDAQ","전기·전자","5600","-200","-3.45","89209736000"
"194480","데브시스터즈","KOSDAQ","출판·매체복제","34350","400","1.18","413418738000"
