종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","106766901780","2090","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","215252550500","4810","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","167504155800","12840","13045495","13247561","202066","2024-09"
"054620","APS","112832247240","6210","18169444","19894221","1724777","2024-09"
"265520","AP시스템","259998519540","17310","15020134","15281421","261287","2024-09"
"211270","AP위성","144608915760","10160","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","61966030017","543","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","344073013770","3595","95708766","95716791","8025","2024-09"
"282330","BGF리테일","2009084244500","116300","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","209303796000","3380","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3037378771260","9540","318383519","320436727","2053208","2024-09"
"001460","BYC","204460542500","32750","6243070","6246150","3080","2024-09"
"013720","CBI","48092782296","1079","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","188006274990","2445","76894182","76894182","0","2024-09"
"001040","CJ","2803255938000","103600","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","933871216920","5640","165580003","165580003","0","2024-09"
"035760","CJ ENM","1283163416100","61900","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","104793773000","11500","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1805034174500","90500","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","111026088570","3090","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4026944846000","274000","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","214638274880","18080","11871586","11871586","0","2024-09"
"058820","CMG제약","290979251180","2095","138892244","138892244","0","2024-09"
"023460","CNH","7646357848","232","32958439","37200000","4241561","2024-09"
"056730","CNT85","57581279246","827","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","233512084320","5660","41256552","46890490","5633938","2024-09"
"065770","CS","19158785310","987","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","47690207670","805","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","72156130200","69300","1041214","1154482","113268","2024-09"
"012030","DB","307368127597","1609","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12091625000","2275","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12176400000","2085","5840000","5840000","0","2024-09"
"016610","DB금융투자","217907581150","5350","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6604781590000","110000","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1499388679950","36050","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1359429437440","8170","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","30304305600","1200","25253588","25258229","4641","2024-09"
"290120","DH오토리드","40261783110","2595","15515138","15515138","0","2024-09"
"025440","DH오토웨어","36167937025","235","153906115","153906120","5","2024-09"
"001530","DI동일","728342794400","37600","19370819","25215672","5844853","2024-09"
"000210","DL","851880588900","40700","20930727","20955884","25157","2024-09"
"375500","DL이앤씨","1174982572400","30550","38460968","38693623","232655","2024-09"
"068790","DMS","127058198400","5400","23529296","24573061","1043765","2024-09"
"007340","DN오토모티브","885135744450","17610","50263245","59065865","8802620","2024-09"
"004840","DRB동일","86821999820","4505","19272364","19930000","657636","2024-09"
"241520","DSC인베스트먼트","74131848000","2835","26148800","27496125","1347325","2024-09"
"155660","DSR","60880000000","3805","16000000","16000000","0","2024-09"
"069730","DSR제강","50760000000","3525","14400000","14400000","0","2024-09"
"017860","DS단석","390369506400","66600","5861404","5861404","0","2024-09"
"180400","DXVX","117878776920","2395","49218696","49219432","736","2024-09"
"017940","E1","436522200500","75500","5781751","6860000","1078249","2024-09"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2024-09"
"037370","EG","60547303440","7020","8624972","8624972","0","2024-09"
"050120","ES큐브","23613810641","1763","13394107","13564086","169979","2024-09"
"383220","F&F","2288133776500","60500","37820393","38307075","486682","2024-09"
"007700","F&F홀딩스","511424899370","13090","39069893","39114367","44474","2024-09"
"214270","FSN","73975718650","2225","33247514","33250463","2949","2024-09"
"130500","GH신소재","43853274495","3015","14545033","14545052","19","2024-09"
"114090","GKL","668659792700","10810","61855670","61855670","0","2024-09"
"078930","GS","3906255564750","42050","92895495","92915378","19883","2024-09"
"083450","GST","283851717800","15260","18601030","18618260","17230","2024-09"
"006360","GS건설","1553466778500","18300","84888895","85581490","692595","2024-09"
"001250","GS글로벌","273884070640","3320","82495202","82533764","38562","2024-09"
"007070","GS리테일","2182547201600","21100","103438256","104717922","1279666","2024-09"
"297890","HB솔루션","272084200080","3720","73140914","73140914","0","2024-09"
"440290","HB인베스트먼트","50906964780","1878","27107010","27107010","0","2024-09"
"078150","HB테크놀러지","203921348310","2295","88854618","92715916","3861298","2024-09"
"012630","HDC","547839296700","10950","50030986","59741721","9710735","2024-09"
"039570","HDC랩스","182416362820","7940","22974353","25957601","2983248","2024-09"
"089470","HDC현대EP","100957866385","3895","25919863","31900000","5980137","2024-09"
"294870","HDC현대산업개발","1321888198000","20600","64169330","65907330","1738000","2024-09"
"009540","HD한국조선해양","13845924554000","195800","70714630","70773116","58486","2024-09"
"267250","HD현대","5794811260000","82000","70668430","78993085","8324655","2024-09"
"267270","HD현대건설기계","920179206900","52100","17661789","18305586","643797","2024-09"
"443060","HD현대마린솔루션","5627370000000","126600","44450000","44450000","0","2024-09"
"071970","HD현대마린엔진","712350933000","21000","33921473","33921495","22","2024-09"
"010620","HD현대미포","4339411622400","108800","39884298","39942149","57851","2024-09"
"322000","HD현대에너지솔루션","258160000000","23050","11200000","11200000","0","2024-09"
"042670","HD현대인프라코어","1434803188400","7450","192591032","192655867","64835","2024-09"
"267260","HD현대일렉트릭","12309504768000","342000","35992704","36047135","54431","2024-09"
"329180","HD현대중공업","17550445033200","197700","88773116","88773116","0","2024-09"
"097230","HJ중공업","186937423300","2245","83268340","83274281","5941","2024-09"
"195940","HK이노엔","1320172920600","46600","28329891","28329891","0","2024-09"
"014790","HL D&I","94078623485","2485","37858601","37858601","0","2024-09"
"028300","HLB","8572064648000","65500","130871216","131127236","256020","2024-09"
"003580","HLB글로벌","189697505345","3995","47483731","47489591","5860","2024-09"
"278650","HLB바이오스텝","182283305130","2165","84195522","86730589","2535067","2024-09"
"067630","HLB생명과학","1037831821250","8750","118609351","118679271","69920","2024-09"
"024850","HLB이노베이션","353930666720","3880","91219244","91226268","7024","2024-09"
"047920","HLB제약","618180588720","19440","31799413","31799994","581","2024-09"
"115450","HLB테라퓨틱스","719025363370","9010","79803037","80139933","336896","2024-09"
"046210","HLB파나진","122881929100","2900","42373079","42373079","0","2024-09"
"204320","HL만도","1864197664000","39700","46957120","46957120","0","2024-09"
"060980","HL홀딩스","339564975750","35750","9498321","10169410","671089","2024-09"
"011200","HMM","12771123406800","17050","749039496","749039496","0","2024-09"
"403870","HPSP","2450515228200","30600","80082197","82934144","2851947","2024-09"
"036640","HRS","83105178000","5200","15981765","16354800","373035","2024-09"
"035000","HS애드","103890998040","6410","16207644","16567409","359765","2024-09"
"002460","HS화성","84709324550","8950","9464729","10150000","685271","2024-09"
"487570","HS효성","148434391350","40050","3706227","3725927","19700","2024-09"
"298050","HS효성첨단소재","1148281654000","257000","4468022","4479948","11926","2024-09"
"439730","IBKS제20호스팩","9460450000","2195","4310000","4310000","0","2024-09"
"442770","IBKS제21호스팩","9262000000","2200","4210000","4210000","0","2024-09"
"448760","IBKS제22호스팩","9701700000","2190","4430000","4430000","0","2024-09"
"467930","IBKS제23호스팩","9263700000","2190","4230000","4230000","0","2024-09"
"469480","IBKS제24호스팩","9284850000","2195","4230000","4230000","0","2024-09"
"003560","IHQ","63618682920","10760","5912517","5994566","82049","2024-09"
"095340","ISC","1246269292800","60900","20464192","21197058","732866","2024-09"
"175330","JB금융지주","3373173755220","17590","191766558","195083198","3316640","2024-09"
"234080","JW생명과학","169865557380","10970","15484554","15834554","350000","2024-09"
"067290","JW신약","70817412721","1397","50692493","50841502","149009","2024-09"
"001060","JW중외제약","641340620100","27900","22987119","23285930","298811","2024-09"
"096760","JW홀딩스","214771293920","2980","72070904","73924942","1854038","2024-09"
"035900","JYP Ent.","1696412620800","51200","33133059","35532492","2399433","2024-09"
"318000","KBG","48803415210","5610","8699361","8740223","40862","2024-09"
"024840","KBI메탈","94062818700","2700","34838081","34909199","71118","2024-09"
"105560","KB금융","35156502308000","93200","377215690","393528423","16312733","2024-09"
"024120","KB오토시스","41917500000","3645","11500000","11500000","0","2024-09"
"455250","KB제25호스팩","11365200000","2640","4305000","4305000","0","2024-09"
"458320","KB제26호스팩","12689025000","2305","5505000","5505000","0","2024-09"
"464680","KB제27호스팩","25758380000","1996","12905000","12905000","0","2024-09"
"476470","KB제28호스팩","11560500000","2100","5505000","5505000","0","2024-09"
"478390","KB제29호스팩","12813200000","2060","6220000","6220000","0","2024-09"
"486630","KB제30호스팩","10726200000","2020","5310000","5310000","0","2024-09"
"002380","KCC","1890021947000","257000","7354171","8886471","1532300","2024-09"
"021320","KCC건설","85466193260","4285","19945436","21400000","1454564","2024-09"
"344820","KCC글라스","618601320400","38800","15943333","15970512","27179","2024-09"
"036670","KCI","80486296000","7480","10760200","11270000","509800","2024-09"
"009070","KCTC","134127288750","4485","29905750","30000000","94250","2024-09"
"009440","KC그린홀딩스","18673483120","844","22124980","22434980","310000","2024-09"
"119650","KC코트렐","26648946535","415","64214329","64214329","0","2024-09"
"044180","KD","12153591905","455","26711191","26717799","6608","2024-09"
"092220","KEC","173258590683","863","200763141","200763141","0","2024-09"
"046440","KG모빌리언스","163253296800","4400","37103022","38825568","1722546","2024-09"
"003620","KG모빌리티","961398823330","4895","196404254","196404254","0","2024-09"
"016380","KG스틸","658838543220","6610","99673002","100008897","335895","2024-09"
"151860","KG에코솔루션","218615444980","5210","41960738","49603002","7642264","2024-09"
"035600","KG이니시스","246753383760","9270","26618488","27904434","1285946","2024-09"
"001390","KG케미칼","271137398400","3960","68469040","68469040","0","2024-09"
"226360","KH 건설","60474013950","2555","23668890","23756732","87842","2024-09"
"111870","KH 미래물산","43747975260","8910","4909986","4930249","20263","2024-09"
"033180","KH 필룩스","125157155370","6630","18877399","18903579","26180","2024-09"
"060720","KH바텍","194149864020","8810","22037442","23677442","1640000","2024-09"
"015590","KIB플러그에너지","98347339515","415","236981541","236981544","3","2024-09"
"001940","KISCO홀딩스","237812694140","18830","12629458","16176380","3546922","2024-09"
"058400","KNN","100381727760","758","132429720","132429720","0","2024-09"
"025000","KPX케미칼","223495387000","47000","4755221","4840000","84779","2024-09"
"092230","KPX홀딩스","221720187600","56400","3931209","4224646","293437","2024-09"
"000040","KR모터스","31202933940","519","60121260","60132868","11608","2024-09"
"044450","KSS해운","206358578500","9140","22577525","23085880","508355","2024-09"
"101000","KS인더스트리","66291808000","2200","30132640","30149619","16979","2024-09"
"030200","KT","10767168945000","43800","245825775","252021685","6195910","2024-09"
"033780","KT&G","11991963499900","109300","109716043","130322497","20606454","2024-09"
"058850","KTcs","108884152230","2870","37938729","42685000","4746271","2024-09"
"058860","KTis","80376927750","2625","30619782","34802000","4182218","2024-09"
"122450","KX","147599497530","3555","41518846","45335964","3817118","2024-09"
"052900","KX하이텍","53203480880","979","54344720","55107517","762797","2024-09"
"376190","LB루셈","123984000000","5040","24600000","24600000","0","2024-09"
"061970","LB세미콘","193527896640","4420","43784592","43784592","0","2024-09"
"309960","LB인베스트먼트","89337296055","3885","22995443","23217239","221796","2024-09"
"093050","LF","414993593040","14990","27684696","29240000","1555304","2024-09"
"003550","LG","11490592304000","76000","151192004","157300993","6108989","2024-09"
"034220","LG디스플레이","5175000000000","10350","500000000","500000000","0","2024-09"
"051900","LG생활건강","5196893782500","354500","14659785","15618197","958412","2024-09"
"373220","LG에너지솔루션","95121000000000","406500","234000000","234000000","0","2024-09"
"032640","LG유플러스","4263897251840","9920","429828352","436611361","6783009","2024-09"
"011070","LG이노텍","4164953232000","176000","23664507","23667107","2600","2024-09"
"066570","LG전자","15832386813600","97200","162884638","163647814","763176","2024-09"
"037560","LG헬로비전","199812911700","2580","77446865","77446865","0","2024-09"
"051910","LG화학","23154288504000","328000","70592343","70592343","0","2024-09"
"079550","LIG넥스원","5492178720000","252000","21794360","22000000","205640","2024-09"
"225190","LK삼양","127124842200","2505","50748440","50748440","0","2024-09"
"006260","LS","2980881642000","109000","27347538","32200000","4852462","2024-09"
"010120","LS ELECTRIC","4421567358600","149100","29655046","30000000","344954","2024-09"
"000680","LS네트웍스","258867900990","3285","78803014","78803016","2","2024-09"
"060370","LS마린솔루션","428198178900","15650","27360906","28706781","1345875","2024-09"
"417200","LS머트리얼즈","1035085682700","15300","67652659","67652659","0","2024-09"
"229640","LS에코에너지","864335916000","28500","30327576","30624879","297303","2024-09"
"078020","LS증권","222289101720","4410","50405692","55481190","5075498","2024-09"
"108320","LX세미콘","990495870000","60900","16264300","16264300","0","2024-09"
"001120","LX인터내셔널","1066448294300","29650","35967902","38760000","2792098","2024-09"
"108670","LX하우시스","360229248750","40250","8949795","8967670","17875","2024-09"
"383800","LX홀딩스","535169201580","7020","76234929","76280690","45761","2024-09"
"476080","M83","101205000000","13000","7785000","7785000","0","2024-09"
"086960","MDS테크","96349015944","1038","92821788","92821788","0","2024-09"
"023150","MH에탄올","37398919470","5830","6414909","7378526","963617","2024-09"
"038340","MIT","39924432729","1233","32379913","32424892","44979","2024-09"
"035420","NAVER","26029254862400","172100","151244944","160784508","9539564","2024-09"
"160550","NEW","66277001750","2375","27906106","27906106","0","2024-09"
"053290","NE능률","57842074500","3500","16526307","16526307","0","2024-09"
"181710","NHN","524717383200","15940","32918280","33766123","847843","2024-09"
"060250","NHN KCP","279944135080","7240","38666317","40160611","1494294","2024-09"
"104200","NHN벅스","47592420480","3520","13520574","14827550","1306976","2024-09"
"005940","NH투자증권","4415184564280","13510","326808628","327492299","683671","2024-09"
"034310","NICE","396102727240","11320","34991407","37503477","2512070","2024-09"
"030190","NICE평가정보","663839361020","11330","58591294","60107670","1516376","2024-09"
"008260","NI스틸","108966445770","3810","28600117","28600117","0","2024-09"
"004250","NPC","175301077050","5170","33907365","36720000","2812635","2024-09"
"222160","NPX","79551289560","8040","9894439","9894439","0","2024-09"
"456040","OCI","660694131000","73800","8952495","8952495","0","2024-09"
"010060","OCI홀딩스","1246828600900","65300","19093853","19563983","470130","2024-09"
"178920","PI첨단소재","602009601000","20500","29366322","29366322","0","2024-09"
"024940","PN풍년","56298093200","5990","9398680","10000000","601320","2024-09"
"005490","POSCO홀딩스","25673254470500","339500","75620779","82624377","7003598","2024-09"
"218410","RFHIC","376383713090","14630","25726843","26484442","757599","2024-09"
"327260","RF머트리얼즈","55646512320","6720","8280731","8433231","152500","2024-09"
"091340","S&K폴리텍","26023557690","2430","10709283","11703721","994438","2024-09"
"010950","S-Oil","6574835052800","58400","112582792","112582792","0","2024-09"
"419530","SAMG엔터","105659855000","13300","7944350","8590930","646580","2024-09"
