종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","108299441040","2120","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","218832634500","4890","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","163068687500","12500","13045495","13247561","202066","2024-09"
"054620","APS","113559025000","6250","18169444","19894221","1724777","2024-09"
"265520","AP시스템","268259593240","17860","15020134","15281421","261287","2024-09"
"211270","AP위성","165816325650","11650","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","60140143313","527","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","345030101430","3605","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1998719235500","115700","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","210232659000","3395","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3005540419360","9440","318383519","320436727","2053208","2024-09"
"001460","BYC","202275468000","32400","6243070","6246150","3080","2024-09"
"013720","CBI","48716785032","1093","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","191850984090","2495","76894182","76894182","0","2024-09"
"001040","CJ","2781609174000","102800","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","932215799730","5630","165580071","165580071","0","2024-09"
"035760","CJ ENM","1303893035100","62900","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","99326271800","10900","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1751182326200","87800","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","114798819735","3195","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4034293285500","274500","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","210483219780","17730","11871586","11871586","0","2024-09"
"058820","CMG제약","290979251180","2095","138892244","138892244","0","2024-09"
"023460","CNH","4317555509","131","32958439","37200000","4241561","2024-09"
"056730","CNT85","55492478306","797","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","234749780880","5690","41256552","46890490","5633938","2024-09"
"065770","CS","20051697290","1033","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","49408239996","834","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","72468494400","69600","1041214","1154482","113268","2024-09"
"012030","DB","306795035998","1606","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12091625000","2275","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12322400000","2110","5840000","5840000","0","2024-09"
"016610","DB금융투자","219944100600","5400","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6562751161700","109300","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1622084841000","39000","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1359429437440","8170","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","30026516132","1189","25253588","25258229","4641","2024-09"
"290120","DH오토리드","39641177590","2555","15515138","15515138","0","2024-09"
"025440","DH오토웨어","36167937025","235","153906115","153906120","5","2024-09"
"001530","DI동일","749650695300","38700","19370819","25215672","5844853","2024-09"
"000210","DL","857113270650","40950","20930727","20955884","25157","2024-09"
"375500","DL이앤씨","1188443911200","30900","38460968","38693623","232655","2024-09"
"068790","DMS","129646420960","5510","23529296","24573061","1043765","2024-09"
"007340","DN오토모티브","967567466250","19250","50263245","59065865","8802620","2024-09"
"004840","DRB동일","88749236220","4605","19272364","19930000","657636","2024-09"
"241520","DSC인베스트먼트","74262592000","2840","26148800","27496125","1347325","2024-09"
"155660","DSR","60640000000","3790","16000000","16000000","0","2024-09"
"069730","DSR제강","50400000000","3500","14400000","14400000","0","2024-09"
"017860","DS단석","512872850000","87500","5861404","5861404","0","2024-09"
"180400","DXVX","118370963880","2405","49218696","49219432","736","2024-09"
"017940","E1","430162274400","74400","5781751","6860000","1078249","2024-09"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2024-09"
