종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","104978939310","2055","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","217266347750","4855","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","159546403850","12230","13045495","13247561","202066","2024-09"
"054620","APS","113377330560","6240","18169444","19894221","1724777","2024-09"
"265520","AP시스템","258496506140","17210","15020134","15281421","261287","2024-09"
"211270","AP위성","143612594490","10090","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","61053086665","535","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","341680294620","3570","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1914071662000","110800","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","207446070000","3350","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3155180673290","9910","318383519","320436727","2053208","2024-09"
"001460","BYC","202899775000","32500","6243070","6246150","3080","2024-09"
"013720","CBI","48850499904","1096","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","188775216810","2455","76894182","76894182","0","2024-09"
"001040","CJ","2795138401500","103300","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","905722616410","5470","165580003","165580003","0","2024-09"
"035760","CJ ENM","1270725644700","61300","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","102151147420","11210","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1769132942300","88700","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","110666780840","3080","35930773","35930773","0","2024-09"
"097950","CJ제일제당","3960808890500","269500","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","214282127300","18050","11871586","11871586","0","2024-09"
"058820","CMG제약","288201406300","2075","138892244","138892244","0","2024-09"
"023460","CNH","6855355312","208","32958439","37200000","4241561","2024-09"
"056730","CNT85","57302772454","823","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","233924649840","5670","41256552","46890490","5633938","2024-09"
"065770","CS","19003496270","979","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","49171270020","830","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","72260251600","69400","1041214","1154482","113268","2024-09"
"012030","DB","296861448282","1554","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12091625000","2275","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12234800000","2095","5840000","5840000","0","2024-09"
"016610","DB금융투자","217907581150","5350","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6820938078400","113600","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1480672316400","35600","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1367749079040","8220","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","29900248192","1184","25253588","25258229","4641","2024-09"
"290120","DH오토리드","39873904660","2570","15515138","15515138","0","2024-09"
"025440","DH오토웨어","36783561485","239","153906115","153906120","5","2024-09"
"001530","DI동일","730279876300","37700","19370819","25215672","5844853","2024-09"
"000210","DL","827810252850","39550","20930727","20955884","25157","2024-09"
