종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"021820","세원정공","KOSPI","운송장비·부품","7070","-50","-0.70","70700000000"
"067830","세이브존I&C","KOSPI","유통","2150","20","0.94","88237924250"
"075580","세진중공업","KOSPI","운송장비·부품","7290","-150","-2.02","414432534240"
"068270","셀트리온","KOSPI","제약","186400","500","0.27","40452749816000"
"336370","솔루스첨단소재","KOSPI","전기·전자","11800","-50","-0.42","828564659200"
"33637K","솔루스첨단소재1우","KOSPI","전기·전자","2800","40","1.45","47344544800"
"33637L","솔루스첨단소재2우B","KOSPI","전기·전자","5880","-90","-1.51","22216380480"
"248070","솔루엠","KOSPI","전기·전자","20000","-550","-2.68","1000111020000"
"004430","송원산업","KOSPI","화학","13440","1180","9.62","322560000000"
"126720","수산인더스트리","KOSPI","건설","22050","-600","-2.65","315006300000"
"017550","수산중공업","KOSPI","기계·장비","1704","-7","-0.41","106328117520"
"053210","스카이라이프","KOSPI","일반서비스","4985","-35","-0.70","236901930675"
"204210","스타에스엠리츠","KOSPI","일반서비스","2490","20","0.81","19488769350"
"026890","스틱인베스트먼트","KOSPI","기타금융","7860","-130","-1.63","327590455500"
"134790","시디즈","KOSPI","기타제조","29000","-550","-1.86","58000000000"
"462870","시프트업","KOSPI","일반서비스","58000","0","0.00","3383413760000"
"016590","신대양제지","KOSPI","종이·목재","5850","-90","-1.52","235742247000"
"029530","신도리코","KOSPI","전기·전자","40050","250","0.63","403705161450"
"004970","신라교역","KOSPI","농업, 임업 및 어업","9460","-20","-0.21","151360000000"
"011930","신성이엔지","KOSPI","전기·전자","1443","-43","-2.89","297038881893"
"005390","신성통상","KOSPI","유통","2230","-5","-0.22","320469709700"
"004170","신세계","KOSPI","유통","146400","-2100","-1.41","1441334498400"
"035510","신세계 I&C","KOSPI","일반서비스","9760","-190","-1.91","167872000000"
"034300","신세계건설","KOSPI","건설","18210","10","0.05","141319688340"
"031430","신세계인터내셔날","KOSPI","유통","12530","-160","-1.26","447321000000"
"031440","신세계푸드","KOSPI","일반서비스","34000","-650","-1.88","131664320000"
"006880","신송홀딩스","KOSPI","유통","7020","570","8.84","83038583160"
"005800","신영와코루","KOSPI","섬유·의류","9070","-10","-0.11","81630000000"
"001720","신영증권","KOSPI","증권","81100","-1200","-1.46","1333284000000"
"009270","신원","KOSPI","섬유·의류","1262","12","0.96","129463981272"
"002700","신일전자","KOSPI","유통","1445","-8","-0.55","102663667845"
"002870","신풍","KOSPI","유통","919","1","0.11","32127045300"
"019170","신풍제약","KOSPI","제약","11490","130","1.14","608797535100"
"019175","신풍제약우","KOSPI","제약","19010","-40","-0.21","41822000000"
"481850","신한글로벌액티브리츠","KOSPI","기타금융","2275","-100","-4.21","98911685600"
"404990","신한서부티엔디리츠","KOSPI","일반서비스","3350","-110","-3.18","187452211400"
"293940","신한알파리츠","KOSPI","일반서비스","5800","-130","-2.19","510980713400"
"055550","신한지주","KOSPI","기타금융","58000","1900","3.39","29544806412000"
"004080","신흥","KOSPI","유통","14290","30","0.21","135755000000"
"102280","쌍방울","KOSPI","섬유·의류","269","0","0.00","70637282701"
"004770","써니전자","KOSPI","전기·전자","1583","-1","-0.06","58100665372"
"403550","쏘카","KOSPI","일반서비스","18570","40","0.22","609372730140"
"004920","씨아이테크","KOSPI","전기·전자","1311","21","1.63","65636254623"
"112610","씨에스윈드","KOSPI","기계·장비","56400","-200","-0.35","2378467129200"
"308170","씨티알모빌리티","KOSPI","운송장비·부품","5710","100","1.78","49163100000"
"008700","아남전자","KOSPI","전기·전자","1255","-19","-1.49","96791649100"
"002790","아모레G","KOSPI","화학","22300","-900","-3.88","1838817414000"
"00279K","아모레G3우(전환)","KOSPI","화학","18240","-290","-1.57","129361728000"
"002795","아모레G우","KOSPI","화학","9080","-150","-1.63","58509431600"
"090430","아모레퍼시픽","KOSPI","화학","117300","-6500","-5.25","6861200630700"
"090435","아모레퍼시픽우","KOSPI","화학","33500","-950","-2.76","353687305000"
"002030","아세아","KOSPI","일반서비스","257500","0","0.00","544779360000"
"183190","아세아시멘트","KOSPI","비금속","10900","30","0.28","419670557400"
"002310","아세아제지","KOSPI","종이·목재","8240","-60","-0.72","352527882400"
"012170","아센디오","KOSPI","일반서비스","432","0","0.00","44742018816"
"267850","아시아나IDT","KOSPI","일반서비스","17700","20","0.11","196470000000"
"020560","아시아나항공","KOSPI","운송·창고","9620","-90","-0.93","715841169680"
"122900","아이마켓코리아","KOSPI","유통","8310","10","0.12","277793660400"
"010780","아이에스동서","KOSPI","비금속","21050","-350","-1.64","635435844800"
"139990","아주스틸","KOSPI","금속","5020","-20","-0.40","133119074880"
"009320","아진전자부품","KOSPI","운송장비·부품","1106","-37","-3.24","54525545620"
"001780","알루코","KOSPI","금속","2290","-40","-1.72","221741002280"
"018250","애경산업","KOSPI","화학","15670","-1070","-6.39","413843681450"
"161000","애경케미칼","KOSPI","화학","10400","-40","-0.38","505946573600"
"011090","에넥스","KOSPI","기타제조","534","-19","-3.44","32035536294"
"137310","에스디바이오센서","KOSPI","의료·정밀기기","8790","-160","-1.79","1094155932870"
"005850","에스엘","KOSPI","운송장비·부품","33150","-50","-0.15","1539768438000"
"010580","에스엠벡셀","KOSPI","운송장비·부품","1227","11","0.90","136505909520"
"012750","에스원","KOSPI","일반서비스","62900","-100","-0.16","2390148296200"
"023960","에쓰씨엔지니어링","KOSPI","건설","1763","0","0.00","59903757004"
"298690","에어부산","KOSPI","운송·창고","2340","0","0.00","272937600000"
"140910","에이리츠","KOSPI","일반서비스","3130","0","0.00","13969290160"
"078520","에이블씨엔씨","KOSPI","화학","6970","0","0.00","181318702170"
"015260","에이엔피","KOSPI","전기·전자","692","-18","-2.54","31220890648"
"007460","에이프로젠","KOSPI","기계·장비","1081","-9","-0.83","310086761208"
"003060","에이프로젠바이오로직스","KOSPI","제약","800","-14","-1.72","158726276000"
"244920","에이플러스에셋","KOSPI","기타금융","4105","-5","-0.12","92804579765"
"278470","에이피알","KOSPI","화학","266500","0","0.00","2031443687000"
"450080","에코프로머티","KOSPI","전기·전자","110000","-900","-0.81","7597765780000"
"036570","엔씨소프트","KOSPI","일반서비스","213500","3000","1.43","4687183697000"
"085310","엔케이","KOSPI","기계·장비","768","-19","-2.41","61427214336"
"900140","엘브이엠씨홀딩스","KOSPI","유통","2200","-35","-1.57","377494504200"
"066970","엘앤에프","KOSPI","전기·전자","101100","1600","1.61","3669559771800"
"097520","엠씨넥스","KOSPI","전기·전자","16760","-360","-2.10","301306788320"
"014440","영보화학","KOSPI","화학","3370","-10","-0.30","67400000000"
"111770","영원무역","KOSPI","유통","40100","-600","-1.47","1776889866800"
"009970","영원무역홀딩스","KOSPI","기타금융","91400","1100","1.22","1246293108800"
"003520","영진약품","KOSPI","제약","2335","-50","-2.10","427054526885"
"000670","영풍","KOSPI","금속","369000","-13500","-3.53","679712760000"
"006740","영풍제지","KOSPI","종이·목재","1218","-8","-0.65","56615256264"
"012280","영화금속","KOSPI","운송장비·부품","763","1","0.13","39420017315"
"012160","영흥","KOSPI","금속","470","-8","-1.67","47615874840"
"015360","예스코홀딩스","KOSPI","일반서비스","51000","0","0.00","306000000000"
"007310","오뚜기","KOSPI","음식료·담배","410500","-7500","-1.79","1645214215000"
"002630","오리엔트바이오","KOSPI","제약","450","0","0.00","53362352250"
"271560","오리온","KOSPI","음식료·담배","96800","-1900","-1.93","3827097577600"
"001800","오리온홀딩스","KOSPI","기타금융","16440","-100","-0.60","1029890737680"
"011690","와이투솔루션","KOSPI","전기·전자","2785","155","5.89","101859687290"
"316140","우리금융지주","KOSPI","기타금융","17080","430","2.58","12683462837080"
"006980","우성","KOSPI","음식료·담배","15900","-140","-0.87","49131000000"
"017370","우신시스템","KOSPI","기계·장비","8090","-230","-2.76","148160696860"
"105840","우진","KOSPI","의료·정밀기기","7940","-350","-4.22","161369495160"
"010400","우진아이엔에스","KOSPI","건설","3390","65","1.95","25838580000"
"049800","우진플라임","KOSPI","기계·장비","2260","-65","-2.80","45200000000"
"016880","웅진","KOSPI","일반서비스","888","0","0.00","70975247040"
"095720","웅진씽크빅","KOSPI","일반서비스","1731","3","0.17","199940860035"
"005820","원림","KOSPI","섬유·의류","16050","10","0.06","36882418500"
"010600","웰바이오텍","KOSPI","유통","545","0","0.00","49553256815"
"008600","윌비스","KOSPI","유통","448","17","3.94","30121745472"
"033270","유나이티드제약","KOSPI","제약","20700","-100","-0.48","338110115400"
"014830","유니드","KOSPI","화학","65200","-100","-0.15","441247520000"
"446070","유니드비티플러스","KOSPI","종이·목재","4440","120","2.78","47113794600"
"000910","유니온","KOSPI","비금속","4370","10","0.23","68222775030"
"047400","유니온머티리얼","KOSPI","비금속","2375","-45","-1.86","99750000000"
"011330","유니켐","KOSPI","기타제조","1540","-3","-0.19","149375637180"
"077500","유니퀘스트","KOSPI","유통","4300","-125","-2.82","93714264500"
"002920","유성기업","KOSPI","운송장비·부품","1996","-19","-0.94","51791210000"
"000700","유수홀딩스","KOSPI","일반서비스","5120","-50","-0.97","133334077440"
"003470","유안타증권","KOSPI","증권","2900","15","0.52","578830070400"
"003475","유안타증권우","KOSPI","증권","2970","30","1.02","38349269640"
"072130","유엔젤","KOSPI","일반서비스","4780","20","0.42","63074270120"
"000220","유유제약","KOSPI","제약","4310","-120","-2.71","73409432810"
"000225","유유제약1우","KOSPI","제약","5070","60","1.20","11493335100"
"000227","유유제약2우B","KOSPI","제약","9940","-160","-1.58","3236066400"
"001200","유진투자증권","KOSPI","증권","3935","-100","-2.48","381169354830"
"000100","유한양행","KOSPI","제약","147400","-1600","-1.07","11822816033600"
"000105","유한양행우","KOSPI","제약","133800","4600","3.56","158009772000"
"003460","유화증권","KOSPI","증권","2240","25","1.13","127013409600"
"003465","유화증권우","KOSPI","증권","2230","-5","-0.22","38972427750"
"008730","율촌화학","KOSPI","화학","27550","1200","4.55","683240000000"
"008250","이건산업","KOSPI","종이·목재","4995","-55","-1.09","54708411825"
"025820","이구산업","KOSPI","금속","4410","10","0.23","147479220000"
"214320","이노션","KOSPI","일반서비스","19530","-210","-1.06","781200000000"
"088260","이리츠코크렙","KOSPI","일반서비스","4455","-380","-7.86","282186783450"
"139480","이마트","KOSPI","유통","61900","-1000","-1.59","1725513196100"
"457190","이수스페셜티케미컬","KOSPI","화학","41150","150","0.37","1243070722000"
"007660","이수페타시스","KOSPI","전기·전자","43800","-1100","-2.45","2770193152200"
"005950","이수화학","KOSPI","화학","7530","-170","-2.21","171102224670"
"015020","이스타코","KOSPI","일반서비스","662","-6","-0.90","28367759200"
"093230","이아이디","KOSPI","유통","1392","0","0.00","354103029120"
"074610","이엔플러스","KOSPI","기계·장비","1425","-30","-2.06","104558988825"
"102460","이연제약","KOSPI","제약","15850","-30","-0.19","294600954350"
"084680","이월드","KOSPI","기타제조","1833","62","3.50","259930751769"
"350520","이지스레지던스리츠","KOSPI","일반서비스","3975","-5","-0.13","112725502575"
"334890","이지스밸류리츠","KOSPI","일반서비스","4970","-80","-1.58","255674040930"
"000760","이화산업","KOSPI","유통","11560","-410","-3.43","32368000000"
"014990","인디에프","KOSPI","섬유·의류","720","-5","-0.69","54081356400"
"101140","인바이오젠","KOSPI","유통","9340","0","0.00","93812977440"
"006490","인스코비","KOSPI","통신","1632","-93","-5.39","194810204736"
"023800","인지컨트롤스","KOSPI","운송장비·부품","6140","-80","-1.29","97068469580"
"034590","인천도시가스","KOSPI","전기·가스","25600","0","0.00","111993702400"
"129260","인터지스","KOSPI","운송·창고","2195","-5","-0.23","65296583430"
"023810","인팩","KOSPI","운송장비·부품","7120","-50","-0.70","71200000000"
"249420","일동제약","KOSPI","제약","13540","-150","-1.10","379966263540"
"000230","일동홀딩스","KOSPI","제약","7740","-180","-2.27","89322696000"
"013360","일성건설","KOSPI","건설","1178","-37","-3.05","63641308640"
"003120","일성아이에스","KOSPI","제약","15860","20","0.13","210938000000"
"003200","일신방직","KOSPI","섬유·의류","7840","-240","-2.97","182515200000"
"007110","일신석재","KOSPI","유통","1284","17","1.34","99454287240"
"007570","일양약품","KOSPI","제약","12680","-170","-1.32","242006219520"
"007575","일양약품우","KOSPI","제약","11900","10","0.08","5296452000"
"008500","일정실업","KOSPI","섬유·의류","12210","-80","-0.65","14652000000"
"081000","일진다이아","KOSPI","화학","11990","-210","-1.72","170293670250"
"020760","일진디스플","KOSPI","전기·전자","913","14","1.56","47032045533"
"103590","일진전기","KOSPI","전기·전자","24200","-100","-0.41","1153986438000"
"271940","일진하이솔루스","KOSPI","운송장비·부품","20150","170","0.85","731710778500"
"015860","일진홀딩스","KOSPI","기타금융","4030","0","0.00","198870356490"
"226320","잇츠한불","KOSPI","화학","11590","-330","-2.77","254160760850"
"317400","자이에스앤디","KOSPI","일반서비스","3945","-40","-1.00","152997041400"
"033240","자화전자","KOSPI","전기·전자","15410","-230","-1.47","341421956700"
"000950","전방","KOSPI","섬유·의류","19500","-440","-2.21","32760000000"
"079900","전진건설로봇","KOSPI","기계·장비","23000","1150","5.26","353293202000"
"348950","제이알글로벌리츠","KOSPI","일반서비스","3195","-75","-2.29","630616320000"
"194370","제이에스코퍼레이션","KOSPI","기타제조","16650","-390","-2.29","222037756650"
"025620","제이준코스메틱","KOSPI","화학","5080","-20","-0.39","22783017680"
"030000","제일기획","KOSPI","일반서비스","18360","-140","-0.76","2112156891000"
"271980","제일약품","KOSPI","제약","14070","-510","-3.50","206897549040"
"001560","제일연마","KOSPI","비금속","8370","-120","-1.41","82863000000"
"002620","제일파마홀딩스","KOSPI","일반서비스","8680","-100","-1.14","138648721400"
"006220","제주은행","KOSPI","은행","8200","100","1.23","263455946800"
"089590","제주항공","KOSPI","운송·창고","8840","20","0.23","712866307400"
"004910","조광페인트","KOSPI","화학","6030","-50","-0.82","77184000000"
"004700","조광피혁","KOSPI","기타제조","51500","0","0.00","342430607000"
"001550","조비","KOSPI","화학","10050","-370","-3.55","52182001950"
"462520","조선내화","KOSPI","비금속","17090","-10","-0.06","202604821120"
"120030","조선선재","KOSPI","기계·장비","92200","-900","-0.97","115955422200"
"018470","조일알미늄","KOSPI","금속","1623","3","0.19","205523283183"
"002600","조흥","KOSPI","음식료·담배","171800","-1400","-0.81","103080000000"
"185750","종근당","KOSPI","제약","104300","-2700","-2.52","1374092006000"
"063160","종근당바이오","KOSPI","제약","28400","-350","-1.22","155801320800"
"001630","종근당홀딩스","KOSPI","제약","55500","-1000","-1.77","278047285500"
"109070","주성코퍼레이션","KOSPI","전기·전자","4100","0","0.00","216521943000"
"044380","주연테크","KOSPI","전기·전자","339","-12","-3.42","22510905828"
"013890","지누스","KOSPI","기타제조","23350","-250","-1.06","484167013400"
"013870","지엠비코리아","KOSPI","운송장비·부품","3765","-30","-0.79","71807134200"
"071320","지역난방공사","KOSPI","전기·가스","47900","-350","-0.73","554621837600"
"088790","진도","KOSPI","유통","1820","0","0.00","22654894080"
"003780","진양산업","KOSPI","화학","6440","30","0.47","83720000000"
"010640","진양폴리","KOSPI","화학","6680","-150","-2.20","66800000000"
"100250","진양홀딩스","KOSPI","화학","3175","-5","-0.16","177467552100"
"051630","진양화학","KOSPI","화학","2635","-10","-0.38","41633000000"
"272450","진에어","KOSPI","운송·창고","10600","90","0.86","553320000000"
"011000","진원생명과학","KOSPI","제약","2255","-35","-1.53","180488023925"
"002780","진흥기업","KOSPI","건설","727","-26","-3.45","105757958615"
"002787","진흥기업2우B","KOSPI","건설","11600","-50","-0.43","3419772800"
"002785","진흥기업우B","KOSPI","건설","4020","-75","-1.83","3446016360"
"009310","참엔지니어링","KOSPI","기계·장비","367","-8","-2.13","31146342773"
"000650","천일고속","KOSPI","운송·창고","40500","-150","-0.37","57883410000"
"012600","청호ICT","KOSPI","기계·장비","2490","0","0.00","116119947330"
"033250","체시스","KOSPI","운송장비·부품","1445","64","4.63","46240000000"
"035720","카카오","KOSPI","일반서비스","36500","-950","-2.54","16188878142000"
"323410","카카오뱅크","KOSPI","은행","21650","0","0.00","10326262741050"
"377300","카카오페이","KOSPI","기타금융","23050","-750","-3.15","3102898477300"
"006380","카프로","KOSPI","화학","3660","0","0.00","618539985360"
"001620","케이비아이동국실업","KOSPI","운송장비·부품","562","-1","-0.18","62546683422"
"029460","케이씨","KOSPI","의료·정밀기기","18890","-340","-1.77","256035891160"
"281820","케이씨텍","KOSPI","의료·정밀기기","35150","400","1.15","733283693400"
"381970","케이카","KOSPI","유통","12850","-90","-0.70","619139638050"
"145270","케이탑리츠","KOSPI","일반서비스","1010","-1","-0.10","48541381740"
"417310","코람코더원리츠","KOSPI","일반서비스","4890","-90","-1.81","197556000000"
"357120","코람코라이프인프라리츠","KOSPI","일반서비스","4700","-65","-1.36","416112027800"
"007815","코리아써우","KOSPI","전기·전자","5610","-10","-0.18","16631910900"
"007810","코리아써키트","KOSPI","전기·전자","10080","-390","-3.72","238097170080"
"00781K","코리아써키트2우B","KOSPI","전기·전자","5800","0","0.00","4545454200"
"003690","코리안리","KOSPI","보험","9200","100","1.10","1521381239200"
"192820","코스맥스","KOSPI","화학","133000","-10400","-7.25","1509484697000"
"044820","코스맥스비티아이","KOSPI","기타금융","8680","-10","-0.12","83362034280"
"005070","코스모신소재","KOSPI","화학","101000","-900","-0.88","3283586356000"
"005420","코스모화학","KOSPI","화학","21250","-700","-3.19","816174845000"
"071950","코아스","KOSPI","기타제조","9790","-280","-2.78","32216148800"
"002020","코오롱","KOSPI","기타금융","14400","-80","-0.55","181820534400"
"138490","코오롱ENP","KOSPI","화학","5620","20","0.36","213560000000"
"003070","코오롱글로벌","KOSPI","건설","8980","-40","-0.44","170015762740"
"003075","코오롱글로벌우","KOSPI","건설","15850","-350","-2.16","11740681450"
"450140","코오롱모빌리티그룹","KOSPI","유통","2350","35","1.51","147526537500"
"45014K","코오롱모빌리티그룹우","KOSPI","유통","3785","-85","-2.20","9296414200"
"002025","코오롱우","KOSPI","기타금융","12750","10","0.08","13723972500"
"120110","코오롱인더","KOSPI","화학","31100","-950","-2.96","855843730100"
"120115","코오롱인더우","KOSPI","화학","21400","50","0.23","59232204000"
"021240","코웨이","KOSPI","일반서비스","65500","-300","-0.46","4833875044500"
"036420","콘텐트리중앙","KOSPI","일반서비스","10620","420","4.12","204565710960"
"024720","콜마홀딩스","KOSPI","기타금융","6750","-190","-2.74","231499748250"
"031820","콤텍시스템","KOSPI","일반서비스","559","-5","-0.89","67667769494"
"192400","쿠쿠홀딩스","KOSPI","기타금융","24200","-500","-2.02","860604877000"
"284740","쿠쿠홈시스","KOSPI","일반서비스","22400","-1150","-4.88","502596192000"
"264900","크라운제과","KOSPI","음식료·담배","8370","-20","-0.24","104824624500"
"26490K","크라운제과우","KOSPI","음식료·담배","9920","-60","-0.60","7673715200"
"005740","크라운해태홀딩스","KOSPI","기타금융","5950","50","0.85","88341714650"
"005745","크라운해태홀딩스우","KOSPI","기타금융","8970","20","0.22","5388512220"
"259960","크래프톤","KOSPI","일반서비스","344500","-2500","-0.72","16501589617500"
"020120","키다리스튜디오","KOSPI","일반서비스","3390","-100","-2.87","125646166740"
"039490","키움증권","KOSPI","증권","134700","-1200","-0.88","3438447298200"
"014580","태경비케이","KOSPI","비금속","4365","-35","-0.80","120400231500"
"015890","태경산업","KOSPI","화학","5060","-50","-0.98","147897475000"
"006890","태경케미컬","KOSPI","화학","10750","-140","-1.29","124700000000"
"003240","태광산업","KOSPI","화학","644000","12000","1.90","717029600000"
"011280","태림포장","KOSPI","종이·목재","2000","-75","-3.61","141611880000"
"004100","태양금속","KOSPI","운송장비·부품","3260","195","6.36","119642000000"
"004105","태양금속우","KOSPI","운송장비·부품","4980","135","2.79","16434000000"
"009410","태영건설","KOSPI","건설","4620","0","0.00","1330122656940"
"009415","태영건설우","KOSPI","건설","7130","0","0.00","4634314620"
"001420","태원물산","KOSPI","운송장비·부품","3800","0","0.00","28880000000"
"055490","테이팩스","KOSPI","화학","16780","-200","-1.18","80034727000"
"078000","텔코웨어","KOSPI","일반서비스","9900","10","0.10","91476762300"
